,Unnamed: 0,Delhi,Mumbai,Chennai,Kolkata,Mean,month,year,merge_col,import_bbl_usd,INR,price_rs_lit_crude,type,Date
69,25,65.96096774193549,69.13193548387099,69.67451612903228,67.99741935483868,68.19120967741931,July,2019,2019 July,63.63,68.75,27.51297169811321,Diesel,2019-07-31
70,26,65.47533333333332,68.64000000000001,69.17099999999999,67.81566666666667,67.77550000000002,August,2019,2019 August,59.35,71.17,26.565657232704407,Diesel,2019-08-31
71,27,65.87896551724137,69.09689655172413,69.62965517241379,68.28620689655173,68.22293103448277,September,2019,2019 September,61.72,71.4,27.71577358490566,Diesel,2019-09-30
72,28,66.48387096774194,69.68645161290321,70.22548387096776,68.84387096774192,68.8099193548387,October,2019,2019 October,59.7,71.04,26.67350943396227,Diesel,2019-10-31
73,29,65.79551724137929,69.00965517241379,69.54172413793101,68.2034482758621,68.13758620689651,November,2019,2019 November,62.53,71.47,28.10703836477988,Diesel,2019-11-30
74,30,66.40870967741934,69.66387096774193,70.20258064516126,68.82032258064518,68.77387096774193,December,2019,2019 December,65.5,71.18,29.322578616352207,Diesel,2019-12-31
75,31,68.14133333333331,71.44866666666665,72.00166666666668,70.507,70.52466666666668,January,2020,2020 January,64.31,71.29,28.83433899371069,Diesel,2020-01-31
76,32,65.07482758620692,68.19862068965516,68.72448275862068,67.41034482758621,67.35206896551726,February,2020,2020 February,54.63,71.51,24.569756603773587,Diesel,2020-02-29
77,33,62.85633333333331,65.80900000000001,66.31566666666669,65.1863333333333,65.04183333333332,March,2020,2020 March,33.36,74.53,15.637237735849055,Diesel,2020-03-31
78,34,62.28999999999998,66.21000000000002,65.71000000000002,65.61999999999995,64.9575,April,2020,2020 April,19.9,76.22,9.539484276729558,Diesel,2020-04-30
79,35,68.44333333333337,66.21000000000002,67.96900000000002,65.61999999999995,67.0605833333333,May,2020,2020 May,30.61,75.67,14.567664779874214,Diesel,2020-05-31
80,36,74.91300000000003,73.48166666666665,72.93499999999999,70.59166666666667,72.98033333333333,June,2020,2020 June,40.63,75.72,19.34907924528302,Diesel,2020-06-30
81,37,80.97800000000001,79.48166666666667,78.29633333333332,76.37599999999999,78.783,July,2020,2020 July,43.35,74.92,20.42630188679245,Diesel,2020-07-31
82,38,73.55999999999996,80.10999999999999,78.85999999999999,77.05999999999996,77.39750000000002,August,2020,2020 August,44.19,74.6,20.733169811320757,Diesel,2020-08-31
83,39,72.22068965517241,78.70344827586204,77.59724137931035,75.72758620689653,76.06224137931035,September,2020,2020 September,41.35,73.55,19.127625786163524,Diesel,2020-09-30
84,40,70.46225806451613,76.86225806451611,75.95193548387097,73.99193548387095,74.31709677419359,October,2020,2020 October,40.66,73.54,18.8058893081761,Diesel,2020-10-31
85,41,70.87689655172414,77.31379310344825,76.35482758620692,74.42172413793104,74.7418103448276,November,2020,2020 November,43.34,74.22,20.23078490566038,Diesel,2020-11-30
86,42,73.69299999999996,80.32233333333336,79.04300000000003,77.26300000000005,77.58033333333331,December,2020,2020 December,49.84,73.63,23.07999496855346,Diesel,2020-12-31
87,43,75.06677419354843,81.79548387096777,80.36516129032262,78.65645161290323,78.97096774193547,January,2021,2021 January,54.79,73.12,25.196508176100632,Diesel,2021-01-31
