,index,INR
753,2019-10-10,71.0385312783
754,2019-10-09,71.0627447409
755,2021-03-01,73.5638430266
756,2019-07-10,68.5837789661
757,2018-12-06,70.914456876
758,2020-04-14,76.1598102709
759,2020-02-28,72.228295527
760,2018-07-16,68.5593003413
761,2020-09-10,73.4526120348
762,2020-10-22,73.6925809999
763,2018-02-01,64.0227947668
764,2017-12-08,64.4502640095
765,2019-07-17,68.8662505573
766,2019-10-31,70.9274699659
767,2020-05-07,75.8309375869
768,2020-12-02,73.73570363
769,2018-10-04,73.5767692575
770,2020-04-20,76.5593922652
771,2018-10-02,73.3778047301
772,2018-03-21,65.2099951164
773,2019-01-25,71.0682178741
774,2017-11-02,64.6019750966
775,2018-08-31,71.002059909
776,2019-03-21,68.5619566172
777,2019-01-09,70.3941510258
778,2020-08-12,74.8033302183
779,2019-04-02,68.753125
780,2019-12-12,70.8768070396
781,2020-08-03,75.2008357496
782,2019-03-26,68.8650252413
783,2019-01-16,71.1260865748
784,2021-01-21,72.9741733838
785,2018-06-15,68.0152638841
786,2020-10-01,73.0322498298
787,2019-06-21,69.5462177448
788,2017-11-29,64.3121670753
789,2020-07-23,74.8353358112
790,2020-09-22,73.4770017036
791,2017-09-13,63.9999165206
792,2017-09-01,64.0331375839
793,2020-02-25,71.7011070111
794,2021-03-08,73.3587561099
795,2017-09-22,64.7947496029
796,2020-05-12,75.1455148278
797,2018-11-07,72.499347088
798,2019-08-20,71.7235464066
799,2018-07-20,68.8269065981
800,2020-02-10,71.3240799927
801,2017-08-23,64.0795830155
802,2017-08-21,64.142930023
803,2019-09-27,70.4787379973
804,2018-05-03,66.6248332221
805,2020-09-03,73.5304325743
806,2019-05-17,70.2049767275
807,2018-10-12,73.565318818
808,2018-09-07,71.7348256565
809,2017-07-28,64.1619063859
810,2018-09-13,72.0309810671
811,2019-10-01,71.1066250688
812,2017-12-06,64.5197596683
813,2020-11-04,74.3925432984
814,2019-04-01,69.320487718
815,2018-08-02,68.6851166394
816,2017-09-14,64.1224232225
817,2017-07-05,64.7960985083
818,2019-10-18,71.1355886576
819,2017-07-10,64.4950382015
820,2018-11-05,73.0800351803
821,2018-08-08,68.6249892139
822,2018-04-12,65.2576482999
823,2017-12-13,64.4316632584
824,2017-07-06,64.7628458498
825,2019-07-05,68.4809058615
826,2019-06-26,69.1519978877
827,2019-11-22,71.6865617652
828,2020-09-18,73.5350291558
829,2021-02-16,72.8152021741
830,2017-08-14,64.1171484276
831,2019-03-25,68.914790287
832,2020-10-28,74.0206361388
833,2020-08-18,74.650596338
834,2020-03-04,73.2606741573
835,2018-01-10,63.5948965977
836,2019-11-19,71.6778008486
837,2019-08-14,71.2750268144
838,2018-10-19,73.341761116
839,2018-05-04,66.8618932242
840,2020-09-30,73.7094294499
841,2019-05-16,70.0428456663
842,2019-12-18,70.9806567701
843,2017-08-01,64.0996444294
844,2019-11-01,70.7568004309
845,2020-03-09,74.1620111732
846,2020-01-03,71.7758141204
847,2018-11-15,71.9770013268
848,2018-05-10,67.2592187237
849,2020-08-17,74.8245169999
850,2017-12-11,64.4120888437
851,2018-04-04,65.1303356142
852,2020-07-13,75.2193485745
853,2019-10-29,70.8562415502
854,2017-10-13,64.9555461473
855,2017-06-27,64.5101081752
856,2020-11-18,74.1582406471
857,2018-10-31,73.9799434529
858,2019-12-09,71.067268623
859,2018-01-17,63.9277226911
860,2018-06-28,68.7930587931
861,2019-04-05,69.2486423929
862,2019-11-25,71.7087572674
863,2019-08-16,71.1484290358
864,2017-06-20,64.5128182144
865,2019-06-14,69.7807367954
866,2021-02-05,72.9091212551
867,2018-07-31,68.545074983
868,2018-07-11,68.7724755006
869,2020-06-08,75.5347806823
870,2020-08-31,73.2567001675
871,2020-11-16,74.454353339
872,2020-06-19,76.139161463
873,2020-09-16,73.5247282838
874,2020-05-20,75.6191823325
875,2021-01-22,73.0111860503
876,2020-06-12,75.8912774239
877,2020-06-17,76.166755698
878,2019-01-21,71.2317373702
