,Date,Delhi,Mumbai,Chennai,Kolkata,Delhi_pc,Mumbai_pc,Chennai_pc,Kolkata_pc
41,2020-05-30,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
42,2020-05-29,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
43,2020-05-28,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
44,2020-05-27,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
45,2020-05-26,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
46,2020-05-25,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
47,2020-05-24,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
48,2020-05-23,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
49,2020-05-22,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
50,2020-05-21,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
51,2020-05-20,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
52,2020-05-19,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
53,2020-05-18,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
54,2020-05-17,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
55,2020-05-16,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
56,2020-05-15,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
57,2020-05-14,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
58,2020-05-13,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
2,2020-05-12,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
4,2020-05-10,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
5,2020-05-09,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
6,2020-05-08,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
7,2020-05-07,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
8,2020-05-06,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
9,2020-05-05,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
10,2020-05-04,62.29,66.21,68.22,65.62,14.31,10.53,18.83,15.83
11,2020-05-03,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
12,2020-05-02,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
13,2020-05-01,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
14,2020-04-30,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
15,2020-04-29,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
16,2020-04-28,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
17,2020-04-27,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
18,2020-04-26,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
19,2020-04-25,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
20,2020-04-24,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
21,2020-04-23,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
22,2020-04-22,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
23,2020-04-21,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
24,2020-04-20,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
25,2020-04-19,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
26,2020-04-18,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
27,2020-04-17,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
28,2020-04-16,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
29,2020-04-15,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
30,2020-04-14,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
31,2020-04-13,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
32,2020-04-12,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
33,2020-04-11,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
34,2020-04-10,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
35,2020-04-09,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
36,2020-04-08,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
37,2020-04-07,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
38,2020-04-06,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
39,2020-04-05,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
40,2020-04-04,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
41,2020-04-03,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
42,2020-04-02,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
43,2020-04-01,62.29,66.21,65.71,65.62,14.31,10.53,14.46,15.83
44,2020-03-31,62.29,65.21,65.71,64.62,14.31,8.86,14.46,14.07
45,2020-03-30,62.29,65.21,65.71,64.62,14.31,8.86,14.46,14.07
46,2020-03-29,62.29,65.21,65.71,64.62,14.31,8.86,14.46,14.07
47,2020-03-28,62.29,65.21,65.71,64.62,14.31,8.86,14.46,14.07
48,2020-03-27,62.29,65.21,65.71,64.62,14.31,8.86,14.46,14.07
49,2020-03-26,62.29,65.21,65.71,64.62,14.31,8.86,14.46,14.07
50,2020-03-25,62.29,65.21,65.71,64.62,14.31,8.86,14.46,14.07
51,2020-03-24,62.29,65.21,65.71,64.62,14.31,8.86,14.46,14.07
52,2020-03-23,62.29,65.21,65.71,64.62,14.31,8.86,14.46,14.07
53,2020-03-22,62.29,65.21,65.71,64.62,14.31,8.86,14.46,14.07
54,2020-03-21,62.29,65.21,65.71,64.62,14.31,8.86,14.46,14.07
55,2020-03-20,62.29,65.21,65.71,64.62,14.31,8.86,14.46,14.07
56,2020-03-19,62.29,65.21,65.71,64.62,14.31,8.86,14.46,14.07
57,2020-03-18,62.29,65.21,65.71,64.62,14.31,8.86,14.46,14.07
58,2020-03-17,62.29,65.21,65.71,64.62,14.31,8.86,14.46,14.07
